,zip,city,pop,state,loc
27179,92555,MORENO VALLEY,9784,CA,"['-117.185105', '33.937659']"
27180,92557,MORENO VALLEY,37853,CA,"['-117.245682', '33.955257']"
27181,92561,MOUNTAIN CENTER,1896,CA,"['-116.581954', '33.531667']"
27182,92562,MURRIETA,1988,CA,"['-117.273838', '33.563071']"
27183,92563,MURRIETA,22649,CA,"['-117.178298', '33.56903']"
27184,92567,LAKEVIEW,6480,CA,"['-117.118704', '33.807712']"
27185,92570,MEAD VALLEY,31870,CA,"['-117.280005', '33.797535']"
27186,92571,PERRIS,12436,CA,"['-117.217968', '33.810979']"
27187,92582,SAN JACINTO,3233,CA,"['-116.981911', '33.788281']"
27188,92583,GILMAN HOT SPRIN,15506,CA,"['-116.955201', '33.78604']"
27189,92584,MENIFEE,8347,CA,"['-117.1743', '33.664744']"
27190,92585,ROMOLAND,5231,CA,"['-117.171899', '33.744518']"
27191,92586,SUN CITY,15225,CA,"['-117.196942', '33.704373']"
27192,92587,CANYON LAKE,12522,CA,"['-117.252653', '33.688756']"
27193,92590,TEMECULA,2128,CA,"['-117.182437', '33.490269']"
27194,92591,TEMECULA,13480,CA,"['-117.128571', '33.521687']"
27195,92592,TEMECULA,15567,CA,"['-117.095774', '33.498314']"
27196,92595,WILDOMAR,4758,CA,"['-117.263953', '33.602115']"
27197,92596,WINCHESTER,1195,CA,"['-117.088518', '33.624269']"
27198,92610,FOOTHILL RANCH,3294,CA,"['-117.664995', '33.666822']"
27199,92621,BREA,45577,CA,"['-117.886742', '33.922897']"
27200,92624,CAPISTRANO BEACH,7498,CA,"['-117.662657', '33.459115']"
27201,92625,CORONA DEL MAR,5166,CA,"['-117.874331', '33.602066']"
27202,92626,COSTA MESA,45411,CA,"['-117.909623', '33.677711']"
27203,92627,COSTA MESA,52357,CA,"['-117.917667', '33.647793']"
27204,92629,MONARCH BAY,25618,CA,"['-117.700483', '33.476964']"
27205,92630,LAKE FOREST,51666,CA,"['-117.68819', '33.640015']"
27206,92631,FULLERTON,28902,CA,"['-117.89157', '33.880519']"
27207,92632,FULLERTON,21680,CA,"['-117.928376', '33.865848']"
27208,92633,FULLERTON,42033,CA,"['-117.961043', '33.873913']"
27209,92635,FULLERTON,10531,CA,"['-117.927801', '33.901181']"
27210,92640,GARDEN GROVE,43908,CA,"['-117.92906', '33.785826']"
27211,92641,GARDEN GROVE,29308,CA,"['-117.975526', '33.786651']"
27212,92643,GARDEN GROVE,39473,CA,"['-117.930193', '33.762641']"
27213,92644,GARDEN GROVE,20467,CA,"['-117.96935', '33.765532']"
27214,92645,GARDEN GROVE,16398,CA,"['-118.02639', '33.78324']"
27215,92646,HUNTINGTON BEACH,57915,CA,"['-117.967771', '33.668448']"
27216,92647,HUNTINGTON BEACH,56565,CA,"['-118.003035', '33.721018']"
27217,92648,HUNTINGTON BEACH,34997,CA,"['-117.999012', '33.674577']"
27218,92649,HUNTINGTON BEACH,34065,CA,"['-118.045142', '33.719111']"
27219,92651,LAGUNA NIGUEL,20315,CA,"['-117.772351', '33.542927']"
27220,92653,LAGUNA HILLS,45283,CA,"['-117.70854', '33.60028']"
27221,92655,MIDWAY CITY,6224,CA,"['-117.983539', '33.744794']"
27222,92656,ALISO VIEJO,16455,CA,"['-117.708906', '33.572367']"
27223,92657,NEWPORT BEACH,8254,CA,"['-117.855317', '33.596382']"
27224,92660,NEWPORT BEACH,25390,CA,"['-117.8757', '33.630027']"
27225,92661,NEWPORT BEACH,6123,CA,"['-117.906237', '33.604429']"
27226,92662,NEWPORT BEACH,3472,CA,"['-117.891732', '33.606459']"
27227,92663,NEWPORT BEACH,19826,CA,"['-117.92788', '33.623084']"
27228,92665,ORANGE,16566,CA,"['-117.844903', '33.83096']"
27229,92666,ORANGE,13811,CA,"['-117.845461', '33.785258']"
27230,92667,VILLA PARK,40937,CA,"['-117.828421', '33.81036']"
27231,92668,ORANGE,20139,CA,"['-117.87532', '33.786481']"
27232,92669,ORANGE,31583,CA,"['-117.800285', '33.791672']"
27233,92670,PLACENTIA,47174,CA,"['-117.859837', '33.880323']"
27234,92672,SAN CLEMENTE,46719,CA,"['-117.610139', '33.430809']"
27235,92675,MISSION VIEJO,28121,CA,"['-117.657409', '33.511714']"
27236,92677,LAGUNA NIGUEL,40072,CA,"['-117.705154', '33.522871']"
27237,92679,COTO DE CAZA,6067,CA,"['-117.577709', '33.634576']"
27238,92680,TUSTIN,51150,CA,"['-117.819193', '33.73713']"
27239,92683,WESTMINSTER,77965,CA,"['-117.991312', '33.752756']"
27240,92686,YORBA LINDA,41141,CA,"['-117.799619', '33.888361']"
27241,92687,YORBA LINDA,14429,CA,"['-117.731162', '33.88238']"
27242,92688,RANCHO SANTA MAR,9489,CA,"['-117.588388', '33.651822']"
27243,92691,MISSION VIEJO,48832,CA,"['-117.664119', '33.617155']"
27244,92692,MISSION VIEJO,30777,CA,"['-117.64245', '33.610872']"
27245,92701,SANTA ANA,63544,CA,"['-117.857665', '33.75016']"
27246,92703,SANTA ANA,63104,CA,"['-117.899589', '33.746613']"
27247,92704,SANTA ANA,77151,CA,"['-117.904683', '33.726513']"
27248,92705,COWAN HEIGHTS,37045,CA,"['-117.768902', '33.74866']"
27249,92706,SANTA ANA,30673,CA,"['-117.881791', '33.764434']"
27250,92707,SANTA ANA HEIGHT,56450,CA,"['-117.870346', '33.715938']"
27251,92708,FOUNTAIN VALLEY,54803,CA,"['-117.952318', '33.710762']"
27252,92709,EL TORO MARINE C,8078,CA,"['-117.715018', '33.681287']"
27253,92714,IRVINE,60654,CA,"['-117.798928', '33.68764']"
27254,92715,IRVINE,30690,CA,"['-117.821251', '33.650884']"
27255,92718,IRVINE,1,CA,"['-117.711476', '33.658179']"
27256,92720,IRVINE,23474,CA,"['-117.765533', '33.707495']"
27257,92801,ANAHEIM,47392,CA,"['-117.954035', '33.842679']"
